claim_id,reviewer_point,estimand,library_universe,denominator,spot_count,metric,value,interval,source_artifact,manuscript_location,status,note
G01,R2-2/R2-4,designated-pair operating gate,8 historical libraries,8 designated pairs,8,c_star,0.800000,locked,locks/c_star.json,Methods; Results § cross-library,RECONCILED,
G02,R2-2,designated-pair calls,8 historical libraries,4 KEEP + 4 ABSTAIN,8,max KEEP cosine,0.648597,,revision_v3/out/cutoff_separability.json,Results § cross-library; F15A,RECONCILED,
G03,R2-2,designated-pair calls,8 historical libraries,4 KEEP + 4 ABSTAIN,8,min ABSTAIN cosine,0.861599,,revision_v3/out/cutoff_separability.json,Results § cross-library; F15A,RECONCILED,
G04,R2-2,threshold stability,8 historical designated pairs,11 cutoffs 0.75–0.85,8,all calls stable,True,0.75–0.85,revision_v3/out/cutoff_separability.json; threshold_grid.csv,Results § sensitivity; F15A,RECONCILED,
G05,R2-4,complete eligible-pair stress estimand,8 libraries,109 eligible pairs,109,fraction cosine ≥ c*,0.238532,0.119024–0.400000,revision_v3/out/cutoff_separability.json; clustered_bootstrap.json,Results § full-input audit; F15A,RECONCILED,Excludes 3 non-annotated placeholder columns; 109 of 112 column pairs eligible; 26 exceed c*.
G06,R2-14,stored-reference CosMx scan,4 CosMx libraries,44 eligible rows (46 scanned),44,fraction cosine ≥ c*,0.340909,0.080000–0.684211,analyses/reporting/neighbor_max_rule_library_summary.csv; revision_v3/out/stored_scan_summary.json; manuscript Results,Results § sensitivity; F12/F13,RECONCILED,Corrected from stale 51-row/0.294 figure; 46 scanned rows; 44 eligible after excluding NotDet/Undetermined; mean cosine 0.696652 (0.604278–0.780938).
G07,R2-3,complete eligible maxima,4 CosMx libraries,17+15+14+5 eligible columns,51,library maxima,NSCLC 0.847; CRC 0.791; HCC 0.854; PDAC 0.905,,revision_v3/out/complete_eligible_scan.csv; revision_v3/out/platform_vs_collinearity.json,Results § sensitivity; F13A/F15A,RECONCILED,Maxima coincide with the stored-export summary; CRC contributes 15 of 16 columns (one unlabelled excluded).
G08,R2-2/R2-3,Xenium FLEX designated cosine: raw cell-mean audit vs canonical normalized profile,Xenium FLEX,same malignant/neighbor labels,2864,cosine,raw 0.987505; canonical P 0.977005,both ABSTAIN,scripts/07_confirm_realgt2_cosine.py (raw audit recomputable); revision_v3/out/gate_input_fulln.json (canonical P); data/plotdata/F2_realgt2_cosine.csv (harmonized to canonical),Methods/Materials/Results/F12 (canonical 0.9770); historical 0.987505 in README + this row only,RECONCILED_WITH_HISTORICAL_VARIANT,Current operating gate uses library-size-normalized P=0.977005; raw cell-mean audit 0.987505 retained as historical provenance in README and here. Both calls ABSTAIN.
G09,R2-2/R2-3,gate-input consistency,openST full-n,6971 spots,6971,cosine P vs S,0.972678 vs 0.689529,P ABSTAIN; S KEEP,revision_v3/out/gate_input_fulln.json,Results § full-n audit; F15C,RECONCILED,Canonical gate input is P; S remains fit signature.
G10,R2-2,gate-input consistency,Xenium full-n,2864 spots,2864,cosine P vs S,0.980196 vs 0.944744,both ABSTAIN,revision_v3/out/gate_input_fulln.json,Results § full-n audit; F15C,RECONCILED,
G11,R2-2,gate-input consistency,CosMx BCC full-n,5686 spots,5686,cosine P vs S,0.603666 vs 0.560911,both KEEP,revision_v3/out/gate_input_fulln.json,Results § full-n audit; F15C,RECONCILED,
D01,R2-5,fresh matched comparator,CosMx BCC realgt3,"800 matched spots, 11 types",800,SPGD overall RMSE,0.108186,,revision_v3/out/comparator_tangram.json,Results § comparator; F15B,RECONCILED,
D02,R2-5,fresh matched comparator,CosMx BCC realgt3,"800 matched spots, 11 types",800,Tangram overall RMSE,0.205869,,revision_v3/out/comparator_tangram.json,Results § comparator; F15B,RECONCILED,
D03,R2-5,fresh matched comparator,CosMx BCC realgt3,"800 matched spots, 11 types",800,SPGD/Tangram tumor RMSE,0.157379 / 0.490728,,revision_v3/out/comparator_tangram.json,Results § comparator; Discussion,RECONCILED,
D04,R2-5,fresh matched comparator,CosMx BCC realgt3,"800 matched spots, 11 types",800,SPGD/Tangram spot PCC,0.843590 / 0.550570,,revision_v3/out/comparator_tangram.json,Results § comparator; Discussion,RECONCILED,
D05,R2-6,hypothetical max-rule consequence,CosMx BCC full-n,5686 spots,5686,nonmalignant RMSE after withholding,0.213989,,revision_v3/out/bcc_abstain_downstream.json,Results § consequence; F15D,RECONCILED,
D06,R2-6,conditional ABSTAIN audit,openST 400,334 defined; 66 excluded,400,neighbor RMSE / bias,0.085296 / +0.016172,RMSE 0.059794–0.111139; bias 0.007475–0.025939,analyses/reporting/abstain_truth_corrected_summary.csv,Results § withheld-coordinate audit,RECONCILED,
D07,R2-6,conditional ABSTAIN audit,Xenium 400,397 defined; 3 excluded,400,neighbor RMSE / bias,0.168162 / +0.021449,RMSE 0.140878–0.195276; bias 0.005733–0.037834,analyses/reporting/abstain_truth_corrected_summary.csv,Results § withheld-coordinate audit,RECONCILED,
D08,R2-6,conditional ABSTAIN audit,CosMx realgt3 400,291 defined; 109 excluded,400,neighbor RMSE / bias,0.143879 / −0.000439,RMSE 0.109892–0.178451; bias −0.017045–0.017055,analyses/reporting/abstain_truth_corrected_summary.csv,Results § withheld-coordinate audit,RECONCILED,
V01,R2-7,cell-count truth,CosMx BCC,5686 full-n spots,5686,tumor RMSE / PCC,0.151633 / 0.946437,RMSE 0.133739–0.167812,analyses/donor_strata/summary_metrics.csv,Results § full-n KEEP; F6/F14,RECONCILED,
V02,R2-13,bounded bootstrap cross-check,openST/Xenium/CosMx 400 plus full-n,400 probe spots or full-n,400,t=0 RMSE,openST 0.0757; Xenium 0.1558; CosMx 0.1542,B=1000 intervals in manuscript,data/plotdata/F3_pi_rmse.csv; Results,Results § dose response; F10,RECONCILED,
V03,R2-13,full-n confirmation,openST/Xenium/CosMx,6971/2864/5686 spots,,full-n RMSE,0.0903 / 0.1613 / 0.1516,,manuscript Results; F10B,Results § dose response; F10B,RECONCILED,
V04,R2-11,reference-floor sensitivity,BCC donor edges,floors 25/50/75/100,,malignant RMSE change at floor 25,(withdrawn; occupancy table is floor-50 only),,data/plotdata/F9_type_floor.csv; Results,Results § floor sensitivity; F11,RECONCILED,F9_type_floor.csv is occupancy at floor 50 and cannot produce a twelve-fit RMSE grid. The manuscript no longer quotes signed floor-25 RMSE deltas.
V05,R2-10,repeated timing,openST warm 400-spot pass,5 warm runs,5,wall time,16.103 ± 2.891 s,CV 17.95%; range 13.024–20.142,Results timing paragraph; T2_repeated_timing.csv,Results § timing; F10D,RECONCILED,
V06,R2-12,gene-retention perturbation,openST/Xenium/CosMx realgt3,21 fresh fits,21,50% retention malignant RMSE,0.0846 / 0.1699 / 0.1423,,analyses/perturbation/perturbation_summary.csv,Results § perturbation; F13C-D,RECONCILED,
V07,R2-4,truth-stratified calibration,CosMx BCC/openST/Xenium/realgt3,4 equal-count strata per substrate,,RMSE with block bootstrap,0.1516 / 0.0757 / 0.1558 / 0.1542,intervals in manuscript,analyses/donor_strata/summary_metrics.csv,Results § calibration; F14A,RECONCILED,
C01,R2-1,standalone contribution with baseline provenance,all analyses,two operators + fixed baseline,,operator count,2,,manuscript/intro.tex; methods.tex,Introduction; Methods,RECONCILED,
C02,R2-7,truth estimand,CosMx BCC and benchmarks,cell-count share,,truth definition,n_k / sum n_k,,manuscript/methods.tex; discussion.tex,Methods Eq. 4; Discussion limitations,RECONCILED,
C03,R2-8,entropy stabilizer,all fits,all entropy terms,,epsilon,1e-12,,manuscript/methods.tex,Methods Eq. 1,RECONCILED,
C04,R2-9,held-out generalization fraction,all fits,held-out halves,,g definition,"bounded held-out deviance gain in [0,1]",,manuscript/methods.tex,Methods Eq. 2,RECONCILED,
C05,R2-17,baseline provenance,reference entry,one software archive citation,,status,software archive / public Zenodo release,,manuscript/references.bib,RECONCILED,Fu2026spgd entry labels the cited software archive and DOI.,Check final bibliographic wording before release.
L01,R1/R2-16,data licensing,NanoString-derived references,record 15487520 and provider terms,,permission status,semantic clause determination; derived matrices withheld from CC-BY bundle,LICENSES.md; revision_v3/license clause table,local declarations; official record still needed,RECONCILED,Agreement read clause by clause; confidential text remains local and is not redistributed.,Do not state affirmative permission until official terms are archived.
P01,R2-15,figure organization,V3 review build,15 figures + 3 tables,,layout state,F13–F15 appended after F12,,manuscript/results.tex; V3 status audit,Main text figure order,OPEN_EDITORIAL,Narratively valid but still pending integrated relayout.
P02,R1/R2,release provenance,V3 capture,one source tree + copied external analysis,,remote release state,local capture and GitHub branch verified; Zenodo V3 deposit pending,,V3 status audit; capture README,Data/code availability,OPEN_EXTERNAL,No remote publication claim made.
